name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Mikolas, Miles",571945,2023,860,674,0.282,0.291,-0.009,0.454,0.498,-0.044,0.33,0.354,-0.024,4.78,5.44,-0.657
"Webb, Logan",657277,2023,850,619,0.248,0.255,-0.007,0.374,0.395,-0.021,0.283,0.295,-0.012,3.25,3.63,-0.38
"Gallen, Zac",668678,2023,846,574,0.238,0.254,-0.016,0.382,0.427,-0.045,0.289,0.314,-0.025,3.47,4.16,-0.689
"Bassitt, Chris",605135,2023,826,569,0.235,0.241,-0.006,0.403,0.405,-0.002,0.304,0.31,-0.006,3.6,4.04,-0.44
"Keller, Mitch",656605,2023,825,548,0.249,0.251,-0.002,0.404,0.404,0,0.31,0.315,-0.005,4.21,4.18,0.034
"Cole, Gerrit",543037,2023,821,543,0.206,0.233,-0.027,0.322,0.379,-0.057,0.256,0.289,-0.033,2.63,3.48,-0.853
"Valdez, Framber",664285,2023,808,540,0.228,0.253,-0.025,0.365,0.41,-0.045,0.287,0.32,-0.033,3.46,4.33,-0.875
"Lynn, Lance",458681,2023,808,540,0.259,0.252,0.007,0.484,0.461,0.023,0.347,0.337,0.01,5.73,4.86,0.873
"Gibson, Kyle",502043,2023,807,589,0.27,0.27,0,0.437,0.446,-0.009,0.326,0.335,-0.009,4.73,4.8,-0.066
"Castillo, Luis",622491,2023,802,522,0.218,0.23,-0.012,0.395,0.408,-0.013,0.289,0.302,-0.013,3.33,3.82,-0.485
"López, Pablo",641154,2023,801,509,0.238,0.216,0.022,0.385,0.34,0.045,0.294,0.269,0.025,3.67,3,0.665
"Giolito, Lucas",608337,2023,794,507,0.24,0.24,0,0.482,0.445,0.037,0.339,0.329,0.01,4.88,4.61,0.272
"Nola, Aaron",605400,2023,793,545,0.24,0.24,0,0.425,0.407,0.018,0.303,0.298,0.005,4.46,3.71,0.751
"Corbin, Patrick",571578,2023,790,605,0.293,0.303,-0.01,0.481,0.518,-0.037,0.353,0.373,-0.02,5.2,6.16,-0.96
"Wheeler, Zack",554430,2023,787,527,0.229,0.23,-0.001,0.364,0.351,0.013,0.277,0.277,0,3.61,3.18,0.429
"Burnes, Corbin",669203,2023,784,510,0.2,0.224,-0.024,0.324,0.342,-0.018,0.266,0.285,-0.019,3.39,3.38,0.012
"Cease, Dylan",656302,2023,784,481,0.25,0.241,0.009,0.405,0.381,0.024,0.321,0.313,0.008,4.58,4.13,0.446
"Berríos, José",621244,2023,782,537,0.241,0.261,-0.02,0.397,0.437,-0.04,0.302,0.326,-0.024,3.65,4.51,-0.856
"Oviedo, Johan",670912,2023,781,525,0.237,0.249,-0.012,0.397,0.402,-0.005,0.319,0.329,-0.01,4.31,4.61,-0.304
"Montgomery, Jordan",656756,2023,777,559,0.247,0.253,-0.006,0.393,0.408,-0.015,0.298,0.308,-0.01,3.2,3.98,-0.784
"Gilbert, Logan",669302,2023,770,543,0.233,0.243,-0.01,0.409,0.41,-0.001,0.29,0.297,-0.007,3.73,3.69,0.039
"Strider, Spencer",675911,2023,763,415,0.21,0.205,0.005,0.355,0.345,0.01,0.279,0.273,0.006,3.86,3.09,0.767
"Gausman, Kevin",592332,2023,763,466,0.233,0.235,-0.002,0.379,0.402,-0.023,0.292,0.303,-0.011,3.16,3.85,-0.688
"Alcantara, Sandy",645261,2023,762,557,0.251,0.265,-0.014,0.391,0.417,-0.026,0.301,0.32,-0.019,4.14,4.33,-0.187
"Kirby, George",669923,2023,757,560,0.246,0.262,-0.016,0.395,0.425,-0.03,0.284,0.305,-0.021,3.35,3.9,-0.549
"Gray, Sonny",543243,2023,754,510,0.226,0.244,-0.018,0.319,0.364,-0.045,0.27,0.296,-0.026,2.79,3.66,-0.872
"Lyles, Jordan",543475,2023,748,575,0.255,0.265,-0.01,0.501,0.481,0.02,0.34,0.34,0,6.28,4.96,1.321
"Snell, Blake",605483,2023,742,405,0.181,0.208,-0.027,0.286,0.35,-0.064,0.266,0.3,-0.034,2.25,3.77,-1.52
"Luzardo, Jesús",666200,2023,741,472,0.239,0.235,0.004,0.409,0.41,-0.001,0.307,0.307,0,3.58,3.96,-0.384
"Kremer, Dean",665152,2023,735,518,0.254,0.27,-0.016,0.416,0.457,-0.041,0.317,0.339,-0.022,4.12,4.93,-0.812
"Sears, JP",676664,2023,735,505,0.249,0.245,0.004,0.465,0.448,0.017,0.335,0.33,0.005,4.54,4.64,-0.096
"Walker, Taijuan",592836,2023,733,516,0.238,0.248,-0.01,0.397,0.405,-0.008,0.313,0.322,-0.009,4.38,4.39,-0.012
"Elder, Bryce",693821,2023,732,532,0.245,0.264,-0.019,0.39,0.416,-0.026,0.309,0.329,-0.02,3.81,4.61,-0.797
"Dunning, Dane",641540,2023,722,517,0.25,0.261,-0.011,0.393,0.415,-0.022,0.31,0.325,-0.015,3.7,4.48,-0.779
"Kelly, Merrill",518876,2023,721,462,0.222,0.244,-0.022,0.371,0.389,-0.018,0.294,0.313,-0.019,3.29,4.13,-0.837
"Morton, Charlie",450203,2023,716,437,0.244,0.248,-0.004,0.371,0.399,-0.028,0.318,0.33,-0.012,3.64,4.64,-1.003
"Steele, Justin",657006,2023,716,497,0.251,0.25,0.001,0.371,0.365,0.006,0.291,0.29,0.001,3.06,3.5,-0.437
"Eflin, Zach",621107,2023,703,490,0.235,0.222,0.013,0.379,0.378,0.001,0.276,0.27,0.006,3.5,3.02,0.475
"Singer, Brady",663903,2023,702,512,0.287,0.276,0.011,0.467,0.452,0.015,0.346,0.34,0.006,5.52,4.96,0.564
"Kikuchi, Yusei",579328,2023,700,467,0.255,0.249,0.006,0.426,0.434,-0.008,0.319,0.319,0,3.87,4.3,-0.435
"Gray, Josiah",680686,2023,698,466,0.251,0.254,-0.003,0.412,0.433,-0.021,0.332,0.342,-0.01,3.91,5.03,-1.124
"Schmidt, Clarke",657376,2023,694,488,0.268,0.256,0.012,0.451,0.418,0.033,0.334,0.32,0.014,4.64,4.33,0.312
"Senga, Kodai",673540,2023,694,409,0.208,0.225,-0.017,0.327,0.365,-0.038,0.282,0.304,-0.022,2.98,3.87,-0.894
"Javier, Cristian",664299,2023,687,459,0.234,0.23,0.004,0.424,0.443,-0.019,0.317,0.323,-0.006,4.56,4.42,0.136
"Peralta, Freddy",642547,2023,680,409,0.212,0.214,-0.002,0.387,0.361,0.026,0.291,0.284,0.007,3.86,3.35,0.507
"Freeland, Kyle",607536,2023,677,540,0.3,0.294,0.006,0.506,0.507,-0.001,0.36,0.361,-0.001,5.03,5.7,-0.67
"Ryan, Joe",657746,2023,672,435,0.248,0.224,0.024,0.452,0.403,0.049,0.316,0.291,0.025,4.51,3.53,0.979
